title,company,location,salary,job_type,source,link,summary,scraped_at
Data Analyst,Virtusa,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-analyst-at-virtusa-4352231131?position=1&pageNum=0&refId=2gDFk3RfDzNj2Aqs42GA0A%3D%3D&trackingId=zX8ybRvDqkefeN2PBGOw3g%3D%3D,AI/ML Role at Virtusa,2026-02-21 16:45:47
Data Analyst I,Emerson,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-analyst-i-at-emerson-4375823205?position=3&pageNum=0&refId=2gDFk3RfDzNj2Aqs42GA0A%3D%3D&trackingId=Lpy9KBCo8mSymdYepDzp5g%3D%3D,AI/ML Role at Emerson,2026-02-21 16:45:47
Databricks-Hyderabad/Bengaluru/Pune/Chennai,Deloitte,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/databricks-hyderabad-bengaluru-pune-chennai-at-deloitte-4367237703?position=4&pageNum=0&refId=2gDFk3RfDzNj2Aqs42GA0A%3D%3D&trackingId=fFftVh%2BzMI1kp%2F%2BYRdr3wA%3D%3D,AI/ML Role at Deloitte,2026-02-21 16:45:47
"Python Data Engineer-Hyderabad,Bengaluru,Pune,Chennai",Deloitte,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/python-data-engineer-hyderabad-bengaluru-pune-chennai-at-deloitte-4367228969?position=5&pageNum=0&refId=2gDFk3RfDzNj2Aqs42GA0A%3D%3D&trackingId=NBGOE6m1tX1O4T8j7YeCQw%3D%3D,AI/ML Role at Deloitte,2026-02-21 16:45:47
Data Analyst,Guidehouse,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-analyst-at-guidehouse-4375870250?position=6&pageNum=0&refId=2gDFk3RfDzNj2Aqs42GA0A%3D%3D&trackingId=TUOURxtsa3nQRNMhK%2FJ9SA%3D%3D,AI/ML Role at Guidehouse,2026-02-21 16:45:47
Applications Devt Associate,UPS,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/applications-devt-associate-at-ups-4314287385?position=8&pageNum=0&refId=2gDFk3RfDzNj2Aqs42GA0A%3D%3D&trackingId=WwJ4iagIjg%2BX36n%2Fk09cPw%3D%3D,AI/ML Role at UPS,2026-02-21 16:45:47
Senior Data Engineer  - Azure Data Factory and SQL,UPS,"Chennai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/senior-data-engineer-azure-data-factory-and-sql-at-ups-4314069028?position=9&pageNum=0&refId=2gDFk3RfDzNj2Aqs42GA0A%3D%3D&trackingId=tOwgzBuug0bgXMhLlePKDA%3D%3D,AI/ML Role at UPS,2026-02-21 16:45:47
Senior Analyst - Research Analyst,eClerx,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/senior-analyst-research-analyst-at-eclerx-4304107943?position=1&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=ywM55DoVxZxzc5r6FHmgZA%3D%3D,AI/ML Role at eClerx,2026-02-21 16:45:59
Analyst- Dell Enrichment,eClerx,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/analyst-dell-enrichment-at-eclerx-4338889059?position=2&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=pZ4CVxPxaueNpJor0EUI%2Fw%3D%3D,AI/ML Role at eClerx,2026-02-21 16:45:59
Associate Developer,IBM,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/associate-developer-at-ibm-4373470469?position=3&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=2cHo%2FyirIu9rSnOqhdiixg%3D%3D,AI/ML Role at IBM,2026-02-21 16:45:59
EY - GDS Consulting - AI And DATA - Data Modeller - Senior,EY,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/ey-gds-consulting-ai-and-data-data-modeller-senior-at-ey-4356535954?position=4&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=2ID%2FT%2BrYxfrmfKIPh3cqiQ%3D%3D,AI/ML Role at EY,2026-02-21 16:45:59
Lead Business Analyst – Data BA,EPAM Systems,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/lead-business-analyst-%E2%80%93-data-ba-at-epam-systems-4373456438?position=5&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=LAdH2wtfmKL%2FVU1kwp3VXQ%3D%3D,AI/ML Role at EPAM Systems,2026-02-21 16:45:59
TechOps - AngularNodeJS-Staff,EY,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/techops-angularnodejs-staff-at-ey-4374675012?position=6&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=vQgUfzblOVaHL24PoN8kXA%3D%3D,AI/ML Role at EY,2026-02-21 16:45:59
Software Engineer - Salesforce FSL,EPAM Systems,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/software-engineer-salesforce-fsl-at-epam-systems-4373470269?position=7&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=%2BQSFXU2hGCVDoa%2BR3gxVhw%3D%3D,AI/ML Role at EPAM Systems,2026-02-21 16:45:59
Software Engineer – Salesforce CPQ,EPAM Systems,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/software-engineer-%E2%80%93-salesforce-cpq-at-epam-systems-4373463433?position=8&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=45UG1OmdEGUHTtel6wTwzQ%3D%3D,AI/ML Role at EPAM Systems,2026-02-21 16:45:59
Lead Business Analyst – AI/ML,EPAM Systems,"Coimbatore, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/lead-business-analyst-%E2%80%93-ai-ml-at-epam-systems-4373458402?position=9&pageNum=0&refId=Zwpt7dzf%2Bx79BjNJT4Iagg%3D%3D&trackingId=FucNSi43%2BjRWlcnlWVxcGg%3D%3D,AI/ML Role at EPAM Systems,2026-02-21 16:45:59
